Name
Harry James Potter
Ronald Bilius Weasley
Hermione Jean Granger
Albus Percival Wulfric Brian Dumbledore
Rubeus Hagrid
Neville Longbottom
Fred Weasley
George Weasley
Ginevra (Ginny) Molly Weasley
Dean Thomas
Seamus Finnigan
Lily J. Potter
James Potter
Sirius Black
Remus John Lupin
Peter Pettigrew
Percy Ignatius Weasley
(Bill) William Arthur Weasley
Charles Weasley
Lee Jordan 
Oliver Wood
Angelina Johnson
Katie Bell
Alicia Spinnet
Lavender Brown
Parvati Patil
Romilda Vane
Colin Creevey
Cormac McLaggen
Minerva McGonagall
Molly Weasley
Arthur Weasley
Quirinus Quirrell
Cho Chang
Luna Lovegood
Gilderoy Lockhart
Filius Flitwick
Sybill Patricia Trelawney
Garrick Ollivander
Myrtle Elizabeth Warren (Moaning Myrtle)
Padma Patil
Michael Corner
Marietta Edgecombe
Terry Boot
Anthony Goldstein
Severus Snape
Draco Malfoy
Vincent Crabbe
Gregory Goyle
Bellatrix Lestrange
Dolores Jane Umbridge
Horace Eugene Flaccus Slughorn
Lucius Malfoy
Narcissa Malfoy
Regulus Arcturus Black
Pansy Parkinson
Blaise Zabini
Tom Marvolo Riddle
Theodore Nott
Rodolphus Lestrange
Millicent Bulstrode
Graham Montague
Bloody Baron
Marcus Flint
Penelope Clearwater
Roger Davies
Marcus Belby
Salazar Slytherin
Godric Gryffindor
Rowena Ravenclaw
Nicholas de Mimsy-Porpington
Cuthbert Binns
Barty Crouch Jr.
Charity Burbage
Firenze
Alecto Carrow
Amycus Carrow
Helga Hufflepuff
Fat Friar
Helena Ravenclaw
Nymphadora Tonks
Pomona Sprout
Newton Scamander
Cedric Diggory
Justin Finch-Fletchley
Zacharias Smith
Hannah Abbott
Ernest Macmillan
Susan Bones
Walden Macnair
Augustus Rookwood
Antonin Dolohov
Corban Yaxley
Igor Karkaroff
Kingsley Shacklebolt
Alastor Moody
Alice Longbottom
Frank Longbottom
Rufus Scrimgeour
Cornelius Oswald Fudge
Barty Crouch Sr.
Amos Diggory
Dedalus Diggle
Elphias Doge
Fleur Isabelle Delacour
Aberforth Dumbledore
Mundungus Fletcher
Sturgis Podmore
Hestia Jones
Marlene McKinnon
Fabian Prewett
Gideon Prewett
Emmeline Vance
Edgar Bones
Dorcas Meadowes
Benjy Fenwick
Madame Olympe Maxime
Gabrielle Delacour
Viktor Krum
Petunia Dursley
Vernon Dursley
Dudley Dursley
Marge Dursley
Dennis Creevey
Albus Severus Potter
Scorpius Hyperion Malfoy
Edward Remus Lupin
James Sirius Potter
Rose Granger-Weasley
Argus Filch
Poppy Pomfrey
Rolanda Hooch
Irma Pince
Aurora Sinistra
Septima Vector
Wilhelmina Grubbly-Plank
Fenrir Greyback
Gellert Grindelwald
Dobby
Kreacher
