"","Name","House","Sentence"
"1","Harry James Potter","Gryffindor","Yes, Aunt Petunia."
"2","Harry James Potter","Gryffindor","Yes, Uncle Vernon."
"3","Harry James Potter","Gryffindor","He's asleep!"
"4","Harry James Potter","Gryffindor","Sorry about him."
"5","Harry James Potter","Gryffindor","He doesn't understand what it's like, lying there day after day..."
"6","Harry James Potter","Gryffindor","...watching people press their ugly faces in on you."
"7","Harry James Potter","Gryffindor","Can you hear me?"
"8","Harry James Potter","Gryffindor","It's just, I've never talked to a snake before."
"9","Harry James Potter","Gryffindor","Do you...?"
"10","Harry James Potter","Gryffindor","I mean, do you talk to people often?"
"11","Harry James Potter","Gryffindor","You're from Burma, aren't you?"
"12","Harry James Potter","Gryffindor","Was it nice there?"
"13","Harry James Potter","Gryffindor","Do you miss your family?"
"14","Harry James Potter","Gryffindor","I see. That's me as well."
"15","Harry James Potter","Gryffindor","I never knew my parents either."
"16","Harry James Potter","Gryffindor","Mummy, Dad, come here!"
"17","Harry James Potter","Gryffindor","Anytime."
"18","Harry James Potter","Gryffindor","I swear, I don't know!"
"19","Harry James Potter","Gryffindor","One minute the glass was there and then it was gone, it was like magic."
"20","Harry James Potter","Gryffindor","Will I have to wear that too?"
"21","Harry James Potter","Gryffindor","That's Dudley's old uniform."
"22","Harry James Potter","Gryffindor","It'll fit me like bits of old elephant skin."
"23","Harry James Potter","Gryffindor","Hey, give it back! It's mine!"
"24","Harry James Potter","Gryffindor","Because there's no post on Sundays?"
"25","Harry James Potter","Gryffindor","Get off!"
"26","Harry James Potter","Gryffindor","They're my letters!"
"27","Harry James Potter","Gryffindor","Let go of me!"
"28","Harry James Potter","Gryffindor","Make a wish, Harry."
"29","Harry James Potter","Gryffindor","I am."
"30","Harry James Potter","Gryffindor","Thank you."
"31","Harry James Potter","Gryffindor","Excuse me, who are you?"
"32","Harry James Potter","Gryffindor","Sorry, no."
"33","Harry James Potter","Gryffindor","Learnt what?"
"34","Harry James Potter","Gryffindor","I'm a what?"
"35","Harry James Potter","Gryffindor","No, you've made a mistake."
"36","Harry James Potter","Gryffindor","I mean...l can't be a wizard."
"37","Harry James Potter","Gryffindor","I mean, I'm just Harry."
"38","Harry James Potter","Gryffindor","Just Harry."
"39","Harry James Potter","Gryffindor","Dear Mr. Potter,"
"40","Harry James Potter","Gryffindor","We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry."""""
"41","Harry James Potter","Gryffindor","You knew?"
"42","Harry James Potter","Gryffindor","You knew all along and you never told me?"
"43","Harry James Potter","Gryffindor","Blown up?"
"44","Harry James Potter","Gryffindor","You told me my parents died in a car crash."
"45","Harry James Potter","Gryffindor","Muggle?"
"46","Harry James Potter","Gryffindor","Okay."
"47","Harry James Potter","Gryffindor","First year's students will require three sets of plain work robes one wand."
"48","Harry James Potter","Gryffindor","One pair of dragon hide gloves."
"49","Harry James Potter","Gryffindor","Hagrid, Do they mean from a real dragon?"
"50","Harry James Potter","Gryffindor","You'd like a dragon?"
"51","Harry James Potter","Gryffindor","All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad."
"52","Harry James Potter","Gryffindor","Can we find all this in London?"
"53","Harry James Potter","Gryffindor","Oh, nice to meet you."
"54","Harry James Potter","Gryffindor","Goodbye."
"55","Harry James Potter","Gryffindor","But why am I famous, Hagrid?"
"56","Harry James Potter","Gryffindor","All those people back there, how is it they know who I am?"
"57","Harry James Potter","Gryffindor","But, Hagrid, how am I to pay for all this?"
"58","Harry James Potter","Gryffindor","I haven't any money."
"59","Harry James Potter","Gryffindor","Hagrid, what exactly are these things?"
"60","Harry James Potter","Gryffindor","What's in there, Hagrid?"
"61","Harry James Potter","Gryffindor","I still need... a wand."
"62","Harry James Potter","Gryffindor","Hello?"
"63","Harry James Potter","Gryffindor","Hello?"
"64","Harry James Potter","Gryffindor","Sorry, but what's curious?"
"65","Harry James Potter","Gryffindor","And who owned that wand?"
"66","Harry James Potter","Gryffindor","He killed my parents, didn't he?"
"67","Harry James Potter","Gryffindor","The one who gave me this."
"68","Harry James Potter","Gryffindor","You know, Hagrid."
"69","Harry James Potter","Gryffindor","I know you do."
"70","Harry James Potter","Gryffindor","Maybe if you wrote it down?"
"71","Harry James Potter","Gryffindor","Voldemort?"
"72","Harry James Potter","Gryffindor","Me? Voldemort tried to kill me?"
"73","Harry James Potter","Gryffindor","What happened to V...?"
"74","Harry James Potter","Gryffindor","To You-Know-Who?"
"75","Harry James Potter","Gryffindor","Platform 9 3/4?"
"76","Harry James Potter","Gryffindor","But, Hagrid, there must be a mistake."
"77","Harry James Potter","Gryffindor","This says platform 9 3/4."
"78","Harry James Potter","Gryffindor","There's no such thing, is there?"
"79","Harry James Potter","Gryffindor","Excuse me. Excuse me."
"80","Harry James Potter","Gryffindor","Excuse me Sir, Can you tell me where I might find platform 9 3/4?"
"81","Harry James Potter","Gryffindor","Muggles?"
"82","Harry James Potter","Gryffindor","Excuse me."
"83","Harry James Potter","Gryffindor","Could you tell me how to...?"
"84","Harry James Potter","Gryffindor","No. Not at all."
"85","Harry James Potter","Gryffindor","I'm Harry. Harry Potter."
"86","Harry James Potter","Gryffindor","The what?"
"87","Harry James Potter","Gryffindor","We'll take the lot."
"88","Harry James Potter","Gryffindor","Bertie Bott's Every Flavor Beans?"
"89","Harry James Potter","Gryffindor","These aren't real frogs, are they?"
"90","Harry James Potter","Gryffindor","I've got Dumbledore!"
"91","Harry James Potter","Gryffindor","Hey, he's gone!"
"92","Harry James Potter","Gryffindor","Just a little bit."
"93","Harry James Potter","Gryffindor","Yeah."
"94","Harry James Potter","Gryffindor","Hey, Hagrid."
"95","Harry James Potter","Gryffindor","I think I can tell the wrong sort for myself, thanks."
"96","Harry James Potter","Gryffindor","Nothing. Nothing, I'm fine."
"97","Harry James Potter","Gryffindor","Not Slytherin, not Slytherin!"
"98","Harry James Potter","Gryffindor","Say, Percy, who's that teacher talking to Professor Quirrell?"
"99","Harry James Potter","Gryffindor","What's he teach?"
"100","Harry James Potter","Gryffindor","I think she fancies you."
"101","Harry James Potter","Gryffindor","We got lost."
"102","Harry James Potter","Gryffindor","I don't know, Sir."
"103","Harry James Potter","Gryffindor","I don't know, Sir."
"104","Harry James Potter","Gryffindor","Clearly, Hermione knows."
"105","Harry James Potter","Gryffindor","Seems a pity not to ask her."
"106","Harry James Potter","Gryffindor","What's Seamus trying to do to that glass of water?"
"107","Harry James Potter","Gryffindor","Can I borrow this? Thanks."
